Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
nerd-fonts-complete	1.9GiB	0	1.9GiB	0	0.0	1.9GiB
qemu-arch-extra	766.4MiB	213	1.7GiB	0	0.0	827.1MiB
eclipse-jee-bin	678.7MiB	101	1.4GiB	0	0.0	741.9MiB
libreoffice-fresh-ro	25.0MiB	183	1.4GiB	0	0.0	519.7MiB
libreoffice-fresh	400.5MiB	182	1.4GiB	1	400.5MiB	494.7MiB
anbox-git	2.9MiB	112	1.3GiB	0	0.0	491.2MiB
anbox-image-gapps-rooted-xposed	450.4MiB	0	450.4MiB	1	450.4MiB	450.4MiB
popcorntime-bin	429.2MiB	169	1.3GiB	0	0.0	433.8MiB
go	432.3MiB	0	432.3MiB	0	0.0	432.3MiB
noto-fonts-cjk	297.8MiB	0	297.8MiB	0	0.0	297.8MiB
java-openjfx-bin	204.0MiB	268	1.8GiB	0	0.0	286.4MiB
teams	275.1MiB	173	1.1GiB	0	0.0	278.4MiB
google-chrome-beta	255.0MiB	180	1.1GiB	0	0.0	260.4MiB
firefox	231.0MiB	225	1.3GiB	0	0.0	250.0MiB
bibata-cursor-theme-bin	233.7MiB	20	447.1MiB	0	0.0	233.9MiB
mysql	174.6MiB	40	506.8MiB	0	0.0	231.2MiB
calibre	87.4MiB	340	1.7GiB	0	0.0	227.4MiB
plex-media-server	212.4MiB	0	212.4MiB	0	0.0	212.4MiB
virtualbox-ext-oracle	1.7MiB	179	1.3GiB	0	0.0	203.0MiB
virtualbox	162.7MiB	178	1.3GiB	1	162.7MiB	201.4MiB
inkscape	152.8MiB	205	1.2GiB	0	0.0	182.5MiB
jdk-openjdk	88.3MiB	73	584.9MiB	0	0.0	173.3MiB
gimp	112.1MiB	201	983.8MiB	0	0.0	172.8MiB
qt5-webengine	152.7MiB	233	1.2GiB	3	50.9MiB	171.1MiB
linux-zen	165.5MiB	87	560.8MiB	0	0.0	169.1MiB
jre-openjdk-headless	167.8MiB	59	486.6MiB	2	83.9MiB	168.4MiB
pandoc	62.6MiB	148	740.2MiB	0	0.0	168.3MiB
r8168	87.8KiB	88	555.9MiB	0	0.0	164.2MiB
linux	160.5MiB	87	555.8MiB	1	160.5MiB	164.1MiB
jre11-openjdk-headless	158.7MiB	59	477.5MiB	5	31.7MiB	159.3MiB
gcc	156.7MiB	56	470.0MiB	8	19.6MiB	159.3MiB
javafx-scenebuilder	149.9MiB	21	378.2MiB	0	0.0	150.2MiB
linux-firmware	149.8MiB	1	150.0MiB	0	0.0	150.0MiB
telegram-desktop	69.2MiB	252	1.2GiB	0	0.0	149.8MiB
soundfont-fluid	144.6MiB	0	144.6MiB	0	0.0	144.6MiB
linux-zen-headers	143.3MiB	58	481.0MiB	0	0.0	144.4MiB
linux-headers	139.5MiB	58	477.3MiB	0	0.0	140.6MiB
ghc-libs	138.8MiB	16	402.3MiB	133	1.0MiB	139.2MiB
octave	58.8MiB	196	1.1GiB	0	0.0	136.2MiB
mysql-workbench	109.5MiB	185	1.0GiB	0	0.0	134.5MiB
hypr-git	603.2KiB	213	1.4GiB	0	0.0	128.6MiB
plex-media-player	34.0MiB	268	1.5GiB	0	0.0	126.8MiB
gcc-libs	123.8MiB	5	183.2MiB	1164	108.9KiB	123.8MiB
jdk11-openjdk	88.1MiB	73	575.7MiB	3	29.4MiB	120.6MiB
papirus-icon-theme	107.9MiB	51	438.1MiB	0	0.0	108.5MiB
llvm-libs	104.7MiB	15	350.5MiB	219	489.8KiB	105.0MiB
webkit2gtk	97.2MiB	192	1.0GiB	17	5.7MiB	101.7MiB
mesa	97.7MiB	77	556.9MiB	217	460.8KiB	98.7MiB
libibus	93.4MiB	16	309.9MiB	32	2.9MiB	93.6MiB
vlc	58.5MiB	242	1.1GiB	0	0.0	87.9MiB
jre-openjdk	503.4KiB	61	487.4MiB	1	503.4KiB	85.0MiB
qt6-declarative	67.4MiB	153	851.9MiB	2	33.7MiB	81.2MiB
python-pyqt5-webengine	614.9KiB	238	1.3GiB	1	614.9KiB	79.0MiB
gnome-control-center	21.0MiB	316	1.5GiB	0	0.0	77.4MiB
python2	76.8MiB	25	301.8MiB	8	9.6MiB	77.1MiB
budgie-extras	7.5MiB	334	1.5GiB	0	0.0	76.3MiB
john	69.5MiB	56	416.1MiB	0	0.0	71.6MiB
quiterss	4.9MiB	232	1.1GiB	0	0.0	67.1MiB
qt5-base	62.8MiB	149	776.2MiB	39	1.6MiB	65.3MiB
mysql-connector-java	2.5MiB	74	578.1MiB	0	0.0	64.3MiB
cmake	62.8MiB	59	344.5MiB	1	62.8MiB	63.4MiB
js78	62.2MiB	10	258.6MiB	60	1.0MiB	62.4MiB
qt6-base	56.7MiB	152	784.5MiB	7	8.1MiB	62.4MiB
qemu	50.7MiB	212	1023.6MiB	1	50.7MiB	60.7MiB
grilo-plugins	2.3MiB	324	1.4GiB	0	0.0	60.0MiB
virtualbox-guest-iso	59.5MiB	0	59.5MiB	0	0.0	59.5MiB
perl	58.8MiB	12	262.3MiB	239	252.1KiB	59.0MiB
shotcut	12.1MiB	249	1.2GiB	0	0.0	58.8MiB
mysql-clients	52.3MiB	18	268.9MiB	1	52.3MiB	56.5MiB
qt5-webkit	46.6MiB	186	983.6MiB	1	46.6MiB	56.0MiB
gcc-fortran	33.7MiB	57	503.8MiB	0	0.0	55.9MiB
gnome-shell	10.6MiB	318	1.5GiB	3	3.5MiB	54.3MiB
python	53.9MiB	24	271.3MiB	195	282.8KiB	54.0MiB
gtk4	49.4MiB	165	862.2MiB	5	9.9MiB	53.5MiB
qt6-wayland	5.8MiB	155	857.7MiB	1	5.8MiB	53.3MiB
gtk3	48.8MiB	164	838.9MiB	118	423.5KiB	51.5MiB
sublime-text	48.3MiB	165	887.1MiB	0	0.0	51.4MiB
ttf-hanazono	51.0MiB	0	51.0MiB	0	0.0	51.0MiB
libstaroffice	49.1MiB	17	305.6MiB	2	24.5MiB	50.0MiB
projectm	26.0MiB	94	637.0MiB	0	0.0	49.3MiB
acestream-engine	36.5MiB	34	342.1MiB	0	0.0	49.1MiB
glibc	48.3MiB	4	59.4MiB	1433	34.5KiB	48.3MiB
chrome-gnome-shell	26.5KiB	326	1.5GiB	0	0.0	48.1MiB
gnome-shell-extensions	868.8KiB	319	1.5GiB	0	0.0	48.0MiB
gnome-shell-extension-appindicator	153.2KiB	319	1.5GiB	0	0.0	47.3MiB
virt-manager	3.7MiB	258	1.1GiB	0	0.0	46.3MiB
guile	44.1MiB	29	348.3MiB	9	4.9MiB	45.6MiB
ghostscript	44.2MiB	79	397.8MiB	6	7.4MiB	45.0MiB
libvirt	42.9MiB	94	538.1MiB	4	10.7MiB	45.0MiB
ffmpeg	35.0MiB	184	944.3MiB	14	2.5MiB	43.7MiB
gnome-backgrounds	43.0MiB	0	43.0MiB	0	0.0	43.0MiB
capitaine-cursors	40.7MiB	0	40.7MiB	0	0.0	40.7MiB
newm-git	3.0MiB	165	821.2MiB	0	0.0	39.7MiB
intel-media-driver	36.7MiB	80	595.8MiB	0	0.0	39.6MiB
virtualbox-host-dkms	10.1MiB	74	614.8MiB	2	5.0MiB	39.1MiB
icu	38.8MiB	9	234.8MiB	365	108.7KiB	38.9MiB
obs-studio	17.7MiB	236	1.1GiB	0	0.0	38.7MiB
zathura-pdf-mupdf	34.7MiB	171	889.1MiB	0	0.0	38.7MiB
subversion	36.6MiB	83	400.1MiB	0	0.0	38.1MiB
gtk2	36.3MiB	95	452.4MiB	10	3.6MiB	37.1MiB
vim	4.6MiB	42	291.8MiB	0	0.0	36.2MiB
evince	13.5MiB	242	1.1GiB	0	0.0	35.6MiB
budgie-desktop	4.4MiB	279	1.3GiB	1	4.4MiB	35.5MiB
neovim	22.8MiB	26	252.1MiB	0	0.0	35.4MiB
gst-plugins-bad	3.8MiB	263	1.1GiB	1	3.8MiB	34.9MiB
python-numpy	33.2MiB	28	312.3MiB	2	16.6MiB	34.4MiB
nodejs	33.8MiB	24	292.4MiB	5	6.8MiB	34.2MiB
mutter	14.2MiB	266	1.2GiB	6	2.4MiB	34.2MiB
git	33.3MiB	63	390.7MiB	4	8.3MiB	34.1MiB
qbittorrent	9.4MiB	157	813.9MiB	0	0.0	33.8MiB
icu69-bin	32.7MiB	9	228.8MiB	0	0.0	32.9MiB
jre11-openjdk	539.9KiB	61	478.3MiB	4	135.0KiB	32.8MiB
haskell-texmath	25.4MiB	53	480.2MiB	1	25.4MiB	32.2MiB
ffmpeg4.4	24.0MiB	183	926.8MiB	3	8.0MiB	32.2MiB
gnuplot	3.4MiB	215	1.0GiB	0	0.0	32.1MiB
midori	3.9MiB	207	1.1GiB	0	0.0	32.1MiB
android-sdk-platform-tools	31.4MiB	8	218.9MiB	0	0.0	31.6MiB
vim-runtime	31.3MiB	0	31.3MiB	1	31.3MiB	31.3MiB
binutils	30.5MiB	53	312.2MiB	14	2.2MiB	30.8MiB
python-pyqt5	26.3MiB	153	856.5MiB	3	8.8MiB	30.7MiB
r8168-dkms	1.3MiB	74	606.1MiB	0	0.0	30.3MiB
smbclient	28.3MiB	76	435.4MiB	3	9.4MiB	30.1MiB
network-manager-applet	601.0KiB	196	926.5MiB	0	0.0	29.8MiB
shellcheck	20.6MiB	50	471.8MiB	0	0.0	29.2MiB
dkms	104.3KiB	73	604.8MiB	4	26.1KiB	29.1MiB
systemd	28.4MiB	77	353.6MiB	245	118.7KiB	28.9MiB
qt5-declarative	23.6MiB	150	799.8MiB	14	1.7MiB	27.7MiB
mojave-gtk-theme-git	18.9MiB	168	895.5MiB	0	0.0	27.1MiB
imath	27.0MiB	6	210.2MiB	7	3.9MiB	27.1MiB
haskell-citeproc	7.1MiB	84	542.7MiB	1	7.1MiB	26.8MiB
simple-scan	4.5MiB	204	1.0GiB	0	0.0	26.5MiB
mpv	5.2MiB	223	1.1GiB	1	5.2MiB	26.4MiB
sane	18.1MiB	120	520.9MiB	2	9.1MiB	26.2MiB
audacious	2.2MiB	245	1.1GiB	0	0.0	26.1MiB
libgweather	22.5MiB	166	862.2MiB	11	2.0MiB	25.7MiB
nerd-fonts-source-code-pro	25.3MiB	23	254.2MiB	0	0.0	25.6MiB
networkmanager	16.0MiB	91	403.0MiB	1	16.0MiB	24.8MiB
lazygit	15.7MiB	64	406.4MiB	0	0.0	24.8MiB
lxc-git	22.6MiB	58	429.6MiB	1	22.6MiB	24.8MiB
wxgtk3	15.1MiB	174	889.1MiB	1	15.1MiB	24.4MiB
graphviz	9.9MiB	118	615.0MiB	1	9.9MiB	24.1MiB
audacious-plugins	6.1MiB	241	1.0GiB	1	6.1MiB	23.7MiB
virt-install	5.3MiB	120	638.2MiB	1	5.3MiB	23.6MiB
libwps	20.9MiB	18	292.0MiB	2	10.5MiB	23.5MiB
libetonyek	19.7MiB	25	323.1MiB	2	9.9MiB	23.1MiB
adwaita-icon-theme	22.4MiB	51	352.6MiB	120	191.2KiB	23.0MiB
gegl	10.1MiB	109	525.9MiB	3	3.4MiB	23.0MiB
glslang	22.4MiB	6	205.7MiB	5	4.5MiB	22.6MiB
cbonsai	31.3KiB	57	470.1MiB	0	0.0	22.2MiB
brother-mfc-7460dn	158.0KiB	129	544.8MiB	0	0.0	22.1MiB
cups	12.7MiB	128	544.6MiB	1	12.7MiB	22.0MiB
libgdata	9.9MiB	198	1.1GiB	2	5.0MiB	21.5MiB
clutter	17.3MiB	171	862.9MiB	4	4.3MiB	21.3MiB
python-imageio	2.5MiB	52	375.9MiB	1	2.5MiB	21.2MiB
gvfs-google	85.9KiB	240	1.2GiB	0	0.0	21.1MiB
telepathy-glib	20.6MiB	40	273.1MiB	3	6.9MiB	20.9MiB
zenity	10.5MiB	193	1.0GiB	8	1.3MiB	20.7MiB
haskell-skylighting	8.7MiB	71	484.3MiB	1	8.7MiB	20.3MiB
qt5-tools	15.6MiB	151	791.8MiB	1	15.6MiB	19.6MiB
gdb	10.1MiB	72	528.7MiB	1	10.1MiB	19.6MiB
colord-sane	31.7KiB	149	666.5MiB	1	31.7KiB	19.6MiB
mypaint-brushes1	2.3MiB	112	529.5MiB	1	2.3MiB	19.2MiB
x265	18.9MiB	6	202.2MiB	40	484.3KiB	19.1MiB
nemo-fileroller	21.8KiB	240	1.0GiB	0	0.0	19.0MiB
pulseaudio-equalizer	99.3KiB	184	1.0GiB	0	0.0	18.9MiB
lib32-glibc	18.7MiB	5	78.1MiB	449	42.6KiB	18.7MiB
gvfs-smb	92.3KiB	227	1.1GiB	0	0.0	18.7MiB
yay-bin	7.7MiB	85	506.0MiB	0	0.0	18.3MiB
xfsudo	35.5KiB	195	1.0GiB	0	0.0	18.3MiB
iso-codes	18.2MiB	0	18.2MiB	134	138.9KiB	18.2MiB
glm	18.0MiB	0	18.0MiB	1	18.0MiB	18.0MiB
npm	6.0MiB	34	358.2MiB	0	0.0	17.8MiB
udisks2	13.8MiB	119	554.4MiB	18	786.4KiB	17.6MiB
libmypaint	1.1MiB	111	527.2MiB	2	556.8KiB	17.4MiB
simplescreenrecorder	3.7MiB	221	1.0GiB	0	0.0	17.1MiB
mathjax	16.7MiB	0	16.7MiB	1	16.7MiB	16.7MiB
coreutils	16.4MiB	28	256.3MiB	412	40.7KiB	16.6MiB
gnome-calculator	8.6MiB	170	861.9MiB	0	0.0	16.4MiB
mypy	14.8MiB	30	289.2MiB	0	0.0	16.4MiB
gnome-online-accounts	5.6MiB	197	1.0GiB	5	1.1MiB	16.1MiB
gvfs-goa	98.3KiB	238	1.2GiB	1	98.3KiB	16.1MiB
libvirt-glib	3.2MiB	95	541.4MiB	1	3.2MiB	16.0MiB
vulkan-headers	16.0MiB	0	16.0MiB	8	2.0MiB	16.0MiB
zeitgeist	1.9MiB	168	873.3MiB	2	983.0KiB	15.7MiB
edk2-ovmf	15.6MiB	0	15.6MiB	0	0.0	15.6MiB
hollywood	2.3MiB	104	473.2MiB	0	0.0	15.6MiB
gobject-introspection	13.5MiB	41	311.4MiB	0	0.0	15.5MiB
intel-gpu-tools	14.2MiB	108	473.5MiB	0	0.0	15.5MiB
glib2	15.3MiB	15	216.5MiB	422	37.1KiB	15.4MiB
libwpd	14.5MiB	17	271.0MiB	9	1.6MiB	15.4MiB
gnome-settings-daemon	5.6MiB	216	1009.1MiB	9	634.8KiB	15.2MiB
haskell-aeson	12.0MiB	44	443.7MiB	11	1.1MiB	15.1MiB
librsvg	14.5MiB	48	330.1MiB	164	90.8KiB	15.1MiB
qt6-5compat	1.2MiB	153	785.7MiB	1	1.2MiB	15.0MiB
qt5-location	9.2MiB	151	808.9MiB	6	1.5MiB	14.9MiB
haskell-skylighting-core	6.1MiB	70	475.6MiB	2	3.0MiB	14.7MiB
nemo	4.1MiB	236	1.0GiB	1	4.1MiB	14.6MiB
tigervnc	5.6MiB	116	684.9MiB	0	0.0	14.5MiB
libvirt-python	1.4MiB	98	594.3MiB	2	738.2KiB	14.5MiB
qt5-translations	14.5MiB	0	14.5MiB	40	370.7KiB	14.5MiB
qt6-svg	676.6KiB	153	785.2MiB	2	338.3KiB	14.5MiB
gnome-color-manager	3.1MiB	171	925.2MiB	1	3.1MiB	14.4MiB
qt5-quickcontrols2	8.7MiB	151	808.4MiB	1	8.7MiB	14.4MiB
qt6-imageformats	302.3KiB	158	788.7MiB	1	302.3KiB	14.4MiB
openjpeg2	14.0MiB	17	220.2MiB	61	235.7KiB	14.2MiB
eog	9.5MiB	171	857.6MiB	0	0.0	13.9MiB
gnome-disk-utility	6.3MiB	223	995.7MiB	4	1.6MiB	13.8MiB
ruby	13.4MiB	18	220.6MiB	19	723.3KiB	13.7MiB
haskell-commonmark-pandoc	253.3KiB	56	475.6MiB	1	253.3KiB	13.6MiB
gst-plugins-base-libs	11.3MiB	110	688.5MiB	40	288.4KiB	13.5MiB
graphicsmagick	13.0MiB	44	292.5MiB	2	6.5MiB	13.5MiB
libva-mesa-driver	12.4MiB	67	465.0MiB	0	0.0	13.4MiB
sundials	10.1MiB	57	366.7MiB	1	10.1MiB	13.2MiB
haskell-unicode-collation	10.9MiB	22	426.3MiB	2	5.4MiB	13.1MiB
libe-book	11.3MiB	24	300.2MiB	2	5.6MiB	13.1MiB
haskell-cryptonite	11.0MiB	19	420.4MiB	8	1.4MiB	13.0MiB
gtkmm3	9.2MiB	170	856.4MiB	8	1.2MiB	13.0MiB
gtkmm	7.8MiB	101	468.5MiB	2	3.9MiB	12.9MiB
proj	12.5MiB	54	303.6MiB	1	12.5MiB	12.9MiB
sof-firmware	12.8MiB	0	12.8MiB	0	0.0	12.8MiB
qt6-translations	12.8MiB	0	12.8MiB	8	1.6MiB	12.8MiB
hdf5	12.6MiB	11	209.1MiB	1	12.6MiB	12.8MiB
spice-gtk	3.1MiB	227	1022.2MiB	1	3.1MiB	12.7MiB
xorg-fonts-misc	12.7MiB	1	12.7MiB	0	0.0	12.7MiB
libmm-glib	12.4MiB	16	229.0MiB	14	910.5KiB	12.7MiB
kguiaddons	754.4KiB	154	806.7MiB	0	0.0	12.6MiB
gvfs	5.2MiB	211	989.1MiB	10	532.1KiB	12.6MiB
ttf-linux-libertine	12.5MiB	0	12.5MiB	0	0.0	12.5MiB
poppler-data	12.3MiB	0	12.3MiB	1	12.3MiB	12.3MiB
gparted	7.2MiB	172	865.9MiB	0	0.0	12.2MiB
shared-color-targets	12.2MiB	0	12.2MiB	2	6.1MiB	12.2MiB
util-linux	11.7MiB	43	290.7MiB	265	45.3KiB	12.1MiB
python-pygments	11.2MiB	31	287.2MiB	1	11.2MiB	12.0MiB
python2-setuptools	1.8MiB	31	304.8MiB	1	1.8MiB	12.0MiB
gnome-tweaks	1.2MiB	222	1.0GiB	0	0.0	12.0MiB
qt5-wayland	6.1MiB	152	805.9MiB	1	6.1MiB	11.9MiB
gst-plugins-good	6.4MiB	186	839.5MiB	4	1.6MiB	11.9MiB
tk	4.8MiB	34	257.2MiB	0	0.0	11.8MiB
tree-sitter	11.7MiB	6	194.9MiB	1	11.7MiB	11.8MiB
node-gyp	4.2MiB	33	352.2MiB	1	4.2MiB	11.8MiB
libvisio	8.5MiB	24	356.4MiB	3	2.8MiB	11.7MiB
gst-plugins-bad-libs	9.1MiB	115	705.1MiB	11	848.1KiB	11.7MiB
openmpi	10.6MiB	50	343.3MiB	12	907.5KiB	11.6MiB
gvfs-gphoto2	168.2KiB	232	1.0GiB	0	0.0	11.6MiB
haskell-vector	10.0MiB	18	414.1MiB	20	510.2KiB	11.5MiB
cifs-utils	260.3KiB	76	435.4MiB	3	86.8KiB	11.4MiB
imagemagick	10.8MiB	47	338.3MiB	8	1.4MiB	11.4MiB
fftw	9.6MiB	51	352.9MiB	8	1.2MiB	11.4MiB
p7zip	11.2MiB	9	207.3MiB	0	0.0	11.4MiB
wxgtk-common	11.2MiB	8	195.2MiB	2	5.6MiB	11.4MiB
chromaprint	121.1KiB	185	944.5MiB	2	60.5KiB	11.3MiB
xapian-core	11.1MiB	11	208.4MiB	3	3.7MiB	11.3MiB
libcheese	662.7KiB	199	912.7MiB	1	662.7KiB	11.2MiB
gnome-system-monitor	4.4MiB	175	930.2MiB	0	0.0	11.2MiB
gnome-sound-recorder	542.8KiB	226	1.0GiB	0	0.0	11.2MiB
haskell-juicypixels	9.1MiB	21	424.3MiB	1	9.1MiB	11.2MiB
zathura-ps	19.4KiB	179	901.9MiB	0	0.0	11.1MiB
qscintilla-qt5	7.1MiB	150	783.2MiB	1	7.1MiB	11.1MiB
haskell-tls	6.7MiB	35	436.0MiB	3	2.2MiB	11.1MiB
sysprof	1.7MiB	168	909.8MiB	0	0.0	11.1MiB
liblouis	10.9MiB	5	70.4MiB	3	3.6MiB	11.0MiB
mesa-demos	7.5MiB	88	571.4MiB	0	0.0	10.8MiB
gstreamer	10.3MiB	59	359.3MiB	41	256.4KiB	10.8MiB
exiv2	9.3MiB	60	364.4MiB	5	1.9MiB	10.7MiB
haskell-commonmark	8.0MiB	19	415.6MiB	3	2.7MiB	10.7MiB
cups-filters	2.9MiB	123	531.6MiB	2	1.4MiB	10.6MiB
python2-pyparsing	806.1KiB	26	302.6MiB	3	268.7KiB	10.6MiB
libtorrent-rasterbar	10.0MiB	17	265.6MiB	1	10.0MiB	10.6MiB
gtksourceview4	7.5MiB	165	846.3MiB	2	3.7MiB	10.6MiB
frei0r-plugins	5.6MiB	35	263.2MiB	1	5.6MiB	10.6MiB
gnupg	10.0MiB	65	327.4MiB	36	283.3KiB	10.5MiB
qt5-quickcontrols	4.7MiB	151	804.5MiB	2	2.4MiB	10.5MiB
libcdr	7.8MiB	21	284.3MiB	3	2.6MiB	10.4MiB
python2-packaging	210.7KiB	28	302.9MiB	2	105.3KiB	10.3MiB
asp	20.1KiB	69	397.2MiB	0	0.0	10.3MiB
libx11	10.2MiB	10	75.7MiB	349	29.8KiB	10.2MiB
haskell-pandoc-types	5.2MiB	48	452.9MiB	4	1.3MiB	10.2MiB
libmspub	7.6MiB	18	278.6MiB	2	3.8MiB	10.1MiB
groff	9.7MiB	13	272.0MiB	2	4.9MiB	10.1MiB
python2-apsw	313.3KiB	26	302.1MiB	1	313.3KiB	10.1MiB
haskell-http-client-tls	237.7KiB	56	449.0MiB	1	237.7KiB	10.1MiB
ttf-dejavu	10.0MiB	0	10.0MiB	7	1.4MiB	10.0MiB
libnm	9.6MiB	48	310.4MiB	16	611.8KiB	10.0MiB
newsboat	9.4MiB	57	344.0MiB	0	0.0	10.0MiB
python2-six	102.9KiB	26	301.9MiB	3	34.3KiB	9.9MiB
appstream	8.4MiB	98	443.8MiB	1	8.4MiB	9.9MiB
python2-appdirs	80.7KiB	26	301.9MiB	2	40.4KiB	9.9MiB
python2-ordered-set	56.3KiB	26	301.8MiB	2	28.1KiB	9.9MiB
clutter-gst	951.1KiB	176	886.5MiB	2	475.5KiB	9.9MiB
git-filter-repo	436.1KiB	66	445.1MiB	0	0.0	9.8MiB
pkgstats	7.7MiB	100	472.8MiB	0	0.0	9.8MiB
haskell-commonmark-extensions	2.2MiB	23	424.7MiB	2	1.1MiB	9.7MiB
libxml2	9.3MiB	12	245.4MiB	327	29.1KiB	9.6MiB
boost-libs	9.2MiB	15	248.2MiB	32	295.5KiB	9.5MiB
noto-fonts-emoji	9.4MiB	0	9.4MiB	0	0.0	9.4MiB
nitrogen	455.1KiB	102	469.0MiB	0	0.0	9.4MiB
gavl	9.4MiB	5	68.8MiB	2	4.7MiB	9.4MiB
libva-intel-driver	7.8MiB	79	565.5MiB	0	0.0	9.3MiB
openexr	5.3MiB	8	215.8MiB	6	902.9KiB	9.3MiB
stacer	1.9MiB	153	781.9MiB	0	0.0	9.3MiB
blueman	4.1MiB	180	932.6MiB	0	0.0	9.3MiB
gcr	5.9MiB	170	854.9MiB	29	208.7KiB	9.3MiB
texinfo	8.7MiB	18	275.8MiB	10	895.5KiB	9.2MiB
ascii-image-converter	9.2MiB	0	9.2MiB	0	0.0	9.2MiB
qt5-multimedia	3.4MiB	181	843.1MiB	2	1.7MiB	9.0MiB
libgphoto2	6.5MiB	92	441.5MiB	4	1.6MiB	9.0MiB
librevenge	8.4MiB	16	256.6MiB	20	428.5KiB	8.9MiB
protobuf	8.8MiB	7	192.3MiB	2	4.4MiB	8.9MiB
srt	8.9MiB	6	75.6MiB	19	477.6KiB	8.9MiB
aom	8.7MiB	6	192.0MiB	41	217.7KiB	8.9MiB
gconf	6.6MiB	89	546.8MiB	0	0.0	8.8MiB
lightdm-settings	449.9KiB	211	987.9MiB	0	0.0	8.8MiB
nm-connection-editor	4.3MiB	176	876.4MiB	6	729.7KiB	8.7MiB
haskell-doctemplates	1.8MiB	52	451.2MiB	1	1.8MiB	8.6MiB
