Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
libexif	2.7MiB	5	62.1MiB	11	251.4KiB	2.7MiB
libp11-kit	2.7MiB	7	62.5MiB	479	5.8KiB	2.7MiB
ttf-opensans	2.7MiB	0	2.7MiB	1	2.7MiB	2.7MiB
libcaca	1.2MiB	57	363.6MiB	7	175.2KiB	2.7MiB
libzmf	1.7MiB	18	258.9MiB	2	892.7KiB	2.7MiB
haskell-cereal	1.2MiB	17	403.6MiB	5	254.6KiB	2.7MiB
imlib2	1.3MiB	56	362.4MiB	11	121.0KiB	2.7MiB
brotli	2.6MiB	6	185.8MiB	428	6.1KiB	2.7MiB
graphene	2.5MiB	16	219.0MiB	17	149.5KiB	2.7MiB
accountsservice	969.2KiB	83	437.7MiB	11	88.1KiB	2.7MiB
xorg-xwayland	2.2MiB	61	293.6MiB	8	280.9KiB	2.7MiB
plymouth	1.9MiB	104	407.6MiB	0	0.0	2.7MiB
gjs	1.3MiB	37	313.1MiB	5	261.0KiB	2.7MiB
iptables-nft	2.4MiB	44	240.2MiB	248	10.0KiB	2.7MiB
haskell-asn1-encoding	481.1KiB	21	412.2MiB	9	53.5KiB	2.6MiB
sassc	19.6KiB	1	2.6MiB	0	0.0	2.6MiB
libsass	2.6MiB	0	2.6MiB	1	2.6MiB	2.6MiB
cryptsetup	2.4MiB	37	234.9MiB	248	9.8KiB	2.6MiB
ruby-paint	71.1KiB	31	227.4MiB	1	71.1KiB	2.6MiB
haskell-asn1-types	482.2KiB	20	411.7MiB	10	48.2KiB	2.6MiB
haskell-xml-types	1.1MiB	17	403.4MiB	5	228.2KiB	2.6MiB
python-chardet	2.1MiB	25	273.4MiB	9	239.5KiB	2.6MiB
pango	2.3MiB	38	251.6MiB	176	13.1KiB	2.6MiB
alsa-utils	2.2MiB	22	216.5MiB	0	0.0	2.6MiB
ruby-rspec-core	1.3MiB	23	224.8MiB	3	428.5KiB	2.6MiB
python-psutil	2.1MiB	25	273.4MiB	9	236.9KiB	2.6MiB
zstd	2.4MiB	12	200.1MiB	554	4.4KiB	2.5MiB
haskell-zip-archive	602.1KiB	25	406.7MiB	1	602.1KiB	2.5MiB
at-spi2-core	2.2MiB	49	271.1MiB	120	18.8KiB	2.5MiB
haskell-these	620.1KiB	28	410.3MiB	13	47.7KiB	2.5MiB
